timestamp,model,symbol,pred,win,stake,pnl,units,risked,paper
2026-09-09T23:00:00+00:00,hourly,ETHUSDT,1,1,59.38,46.36,0.390367,0.500000,0
2026-09-09T23:00:00+00:00,quarterhour,BTCUSDT,1,1,84.25,72.72,0.617434,0.715331,0
2026-09-10T00:00:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T02:15:00+00:00,quarterhour,BTCUSDT,1,0,94.44,-94.44,-0.715417,0.715417,0
2026-09-10T02:30:00+00:00,quarterhour,BTCUSDT,1,1,96.19,79.52,0.591433,0.715417,0
2026-09-10T05:15:00+00:00,quarterhour,ETHUSDT,-1,0,24.06,-24.06,-0.178854,0.178854,0
2026-09-10T06:00:00+00:00,quarterhour,BTCUSDT,-1,1,44.88,39.80,0.305758,0.344785,0
2026-09-10T07:30:00+00:00,quarterhour,BTCUSDT,1,0,96.20,-96.20,-0.715417,0.715417,0
2026-09-10T09:45:00+00:00,quarterhour,BTCUSDT,1,0,96.20,-96.20,-0.715417,0.715417,0
2026-09-10T10:30:00+00:00,quarterhour,BTCUSDT,1,1,94.45,81.28,0.615660,0.715417,0
2026-09-10T12:30:00+00:00,quarterhour,BTCUSDT,1,0,94.45,-94.45,-0.715417,0.715417,0
2026-09-10T12:45:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T13:15:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-10T13:15:00+00:00,quarterhour,BTCUSDT,1,1,92.16,76.19,0.566607,0.685372,0
2026-09-10T14:00:00+00:00,quarterhour,BTCUSDT,-1,1,92.27,83.46,0.647108,0.715417,0
2026-09-10T15:30:00+00:00,quarterhour,BTCUSDT,1,1,90.94,84.79,0.667035,0.715417,0
2026-09-10T16:30:00+00:00,quarterhour,BTCUSDT,1,1,94.65,82.35,0.622447,0.715417,0
2026-09-10T21:00:00+00:00,hourly,BTCUSDT,1,0,127.65,-127.65,-1.000000,1.000000,0
2026-09-10T21:45:00+00:00,quarterhour,ETHUSDT,1,1,24.14,21.62,0.160183,0.178854,0
2026-09-10T22:00:00+00:00,quarterhour,ETHUSDT,1,0,26.47,-26.47,-0.178854,0.178854,0
2026-09-10T22:30:00+00:00,quarterhour,BTCUSDT,1,0,106.31,-106.31,-0.715381,0.715381,0
2026-09-10T22:30:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T22:45:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T22:45:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T23:00:00+00:00,hourly,ETHUSDT,1,0,72.39,-72.39,-0.500000,0.500000,0
2026-09-10T23:00:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T23:00:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T23:15:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-10T23:30:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-10T23:45:00+00:00,quarterhour,ETHUSDT,1,0,26.92,-26.92,-0.178854,0.178854,0
2026-09-11T00:00:00+00:00,quarterhour,BTCUSDT,1,1,114.88,97.86,0.609390,0.715377,0
2026-09-11T00:00:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-11T00:00:00+00:00,hourly,ETHUSDT,1,1,81.29,62.00,0.381351,0.500000,0
2026-09-11T16:00:00+00:00,hourly,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-11T20:00:00+00:00,hourly,ETHUSDT,1,0,84.41,-84.41,-0.499968,0.499968,0
2026-09-11T21:30:00+00:00,quarterhour,ETHUSDT,1,0,30.27,-30.27,-0.178854,0.178854,0
2026-09-11T21:45:00+00:00,quarterhour,ETHUSDT,1,0,30.77,-30.77,-0.178854,0.178854,0
2026-09-11T22:00:00+00:00,quarterhour,BTCUSDT,1,1,131.90,113.24,0.614200,0.715410,0
2026-09-11T22:00:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-11T22:15:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-11T23:00:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-11T23:00:00+00:00,hourly,ETHUSDT,1,1,21.60,17.40,0.089247,0.110789,0
2026-09-11T23:15:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-11T23:45:00+00:00,quarterhour,ETHUSDT,1,1,35.29,31.30,0.158632,0.178854,0
2026-09-12T00:00:00+00:00,quarterhour,ETHUSDT,1,1,35.79,30.80,0.153918,0.178854,0
2026-09-12T00:45:00+00:00,quarterhour,ETHUSDT,1,0,35.13,-35.13,-0.178854,0.178854,0
2026-09-12T01:00:00+00:00,hourly,BTCUSDT,-1,1,195.24,156.79,0.803048,0.999981,0
2026-09-12T01:00:00+00:00,quarterhour,ETHUSDT,1,1,35.15,31.44,0.159976,0.178853,0
2026-09-12T01:15:00+00:00,quarterhour,ETHUSDT,1,0,35.79,-35.79,-0.178854,0.178854,0
2026-09-12T01:30:00+00:00,quarterhour,ETHUSDT,1,0,35.13,-35.13,-0.178854,0.178854,0
